NCBI Accession, NCBI Tax ID, Domain, Phylum, Class, Order, Family, Genus, Species
NZ_JNIY01000001.1,1122933,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Cellulomonadaceae,Paraoerskovia,Paraoerskovia marina
NZ_BBRD01000006.1,327095,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Demequinaceae,Demequina,Demequina aestuarii
NZ_BBMB01000023.1,1638989,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Demequinaceae,Lysinimicrobium,Lysinimicrobium subtropicum
NZ_AGBX01000008.1,1074488,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Dermabacteraceae,Brachybacterium,Brachybacterium squillarum
NZ_CP012117.1,1630135,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Dermabacteraceae,Dermabacter,Dermabacter vaginalis
NZ_LN849456.1,472569,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Dermabacteraceae,Devriesea,Devriesea agamarum
NZ_CYUG01000001.1,521392,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Dermabacteraceae,Helcobacillus,Helcobacillus massiliensis
NZ_AQXW01000001.1,1121385,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Dermacoccaceae,Demetria,Demetria terragena
NZ_LDCM01000001.1,1641401,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Dermacoccaceae,Dermacoccus,Dermacoccus sp. PE3
NC_013169.1,478801,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Dermacoccaceae,Kytococcus,Kytococcus sedentarius
NZ_CP011112.1,571913,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Dermacoccaceae,Luteipulveratus,Luteipulveratus mongoliensis
NZ_BAGZ01000033.1,1184607,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Dermatophilaceae,Austwickia,Austwickia chelonae
NZ_LT906453.1,1863,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Dermatophilaceae,Dermatophilus,Dermatophilus congolensis
NZ_BAHD01000166.1,1184609,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Dermatophilaceae,Kineosphaera,Kineosphaera limosa
NZ_BAFE01000097.1,1089455,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Dermatophilaceae,Mobilicoccus,Mobilicoccus pelagius
NZ_BCNQ01000001.1,1208313,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Dermatophilaceae,Piscicoccus,Piscicoccus intestinalis
NZ_CP012070.1,1658671,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Intrasporangiaceae,Arsenicicoccus,NA 
NZ_MAST01000001.1,1869167,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Intrasporangiaceae,Humibacillus,NA 
NC_014830.1,710696,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Intrasporangiaceae,Intrasporangium,Intrasporangium calvum
NZ_LMRZ01000001.1,1736393,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Intrasporangiaceae,Janibacter,NA 
NZ_AVPL01000089.1,1385519,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Intrasporangiaceae,Knoellia,Knoellia aerolata
NZ_BCRE01000001.1,1223526,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Intrasporangiaceae,Kribbia,Kribbia dieselivorans
NZ_MLJO01000001.1,1428657,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Intrasporangiaceae,Monashia,Monashia flava
NZ_ATWJ01000001.1,1122622,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Intrasporangiaceae,Ornithinimicrobium,Ornithinimicrobium pekingense
NZ_FOHB01000018.1,587636,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Intrasporangiaceae,Phycicoccus,Phycicoccus cremeus
NZ_LQBL01000001.1,767452,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Intrasporangiaceae,Serinicoccus,Serinicoccus chungangensis
NZ_JYOE01000001.1,1619947,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Intrasporangiaceae,Terrabacter,Terrabacter sp. 28
NZ_KB911820.1,1172188,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Intrasporangiaceae,Terracoccus,NA 
NZ_HG764815.1,1193182,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Intrasporangiaceae,Tetrasphaera,Tetrasphaera australiensis
NC_013174.1,471856,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Jonesiaceae,Jonesia,Jonesia denitrificans
NZ_JYFC01000001.1,110935,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Microbacteriaceae,Agreia,Agreia bicolorata
NZ_FUHU01000048.1,1255656,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Microbacteriaceae,Agrococcus,Agrococcus casei
NZ_ATXG01000001.1,1120960,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Microbacteriaceae,Agromyces,Agromyces subbeticus
NZ_AP017457.1,708131,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Microbacteriaceae,Aurantimicrobium,Aurantimicrobium minutum
NZ_AZQZ01000001.1,1291006,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Microbacteriaceae,Clavibacter,NA 
NZ_CP020715.1,1619308,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Microbacteriaceae,Cnuibacter,Cnuibacter physcomitrellae
NZ_FNIB01000042.1,1424659,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Microbacteriaceae,Cryobacterium,Cryobacterium flavum
NZ_KB911087.1,1169145,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Microbacteriaceae,Cryocola,NA 
NZ_MJGN01000001.1,1898736,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Microbacteriaceae,Curtobacterium,NA 
NZ_JXQZ01000001.1,1589899,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Microbacteriaceae,Frigoribacterium,NA 
NZ_CP014513.1,1795630,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Microbacteriaceae,Frondihabitans,NA 
NZ_ATWH01000001.1,1121924,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Microbacteriaceae,Glaciibacter,Glaciibacter superstes
NZ_AULK01000001.1,1121372,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Microbacteriaceae,Gryllotalpicola,Gryllotalpicola ginsengisoli
NZ_FUIC01000055.1,1255570,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Microbacteriaceae,Gulosibacter,NA 
NZ_BCST01000001.1,1220584,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Microbacteriaceae,Herbiconiux,Herbiconiux solani
NZ_ATXT01000001.1,1121952,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Microbacteriaceae,Humibacter,Humibacter albus
NZ_ATIA01000207.1,1348338,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Microbacteriaceae,Leifsonia,Leifsonia rubra
NZ_LAYO01000055.1,1642040,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Microbacteriaceae,Leucobacter,Leucobacter sp. Ag1
NZ_JAGG01000001.1,1305732,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Microbacteriaceae,Microbacterium,NA 
NZ_AP017315.1,279828,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Microbacteriaceae,Microcella,Microcella alkaliphila
NZ_LT629742.1,412690,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Microbacteriaceae,Microterricola,Microterricola viridarii
NZ_FOVM01000015.1,995034,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Microbacteriaceae,Mycetocola,Mycetocola miduiensis
NZ_FUZP01000004.1,123320,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Microbacteriaceae,Okibacterium,Okibacterium fritillariae
NZ_LMJX01000001.1,1735669,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Microbacteriaceae,Plantibacter,NA 
NZ_CZJS01000001.1,255205,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Microbacteriaceae,Pseudoclavibacter,Pseudoclavibacter helvolus
NZ_CP015515.1,33888,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Microbacteriaceae,Rathayibacter,Rathayibacter tritici
NZ_CP007490.1,529884,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Microbacteriaceae,Rhodoluna,Rhodoluna lacicola
NZ_OCST01000008.1,386302,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Microbacteriaceae,Salinibacterium,Salinibacterium xinjiangense
NZ_LMCX01000001.1,1736516,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Microbacteriaceae,Yonghaparkia,NA 
NZ_AQXM01000001.1,1120917,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Micrococcaceae,Acaricomes,Acaricomes phytoseiuli
NZ_FUHW01000053.1,71253,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Micrococcaceae,Arthrobacter,Arthrobacter rhombi
NZ_AFXQ01000067.1,1045009,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Micrococcaceae,Citricoccus,Citricoccus sp. CH26A
NZ_LXEY01000001.1,1837282,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Micrococcaceae,Enteractinococcus,Enteractinococcus helveticum
NZ_NRGU01000001.1,2024403,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Micrococcaceae,Glutamicibacter,NA 
NZ_JIAG01000001.1,1121020,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Micrococcaceae,Haematomicrobium,Haematomicrobium sanguinis
NZ_CP012507.1,71999,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Micrococcaceae,Kocuria,Kocuria palustris
NZ_JFYP01000001.1,1270,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Micrococcaceae,Micrococcus,Micrococcus luteus
NZ_CP018135.1,556325,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Micrococcaceae,Neomicrococcus,Neomicrococcus aestuarii
NZ_LQBM01000001.1,317018,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Micrococcaceae,Nesterenkonia,Nesterenkonia jeotgali
NZ_BDDW01000001.1,29320,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Micrococcaceae,Paenarthrobacter,Paenarthrobacter nicotinovorans
NZ_CZJT01000001.1,494023,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Micrococcaceae,Paeniglutamicibacter,Paeniglutamicibacter antarcticus
NZ_CP013747.1,121292,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Micrococcaceae,Pseudarthrobacter,Pseudarthrobacter sulfonivorans
NZ_JRNH01000001.1,1401063,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Micrococcaceae,Pseudoglutamicibacter,Pseudoglutamicibacter albus
NC_010168.1,288705,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Micrococcaceae,Renibacterium,Renibacterium salmoninarum
NZ_KV801757.1,1739253,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Micrococcaceae,Rothia,Rothia sp. HMSC075F09
NZ_KV908322.1,1531955,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Micrococcaceae,Sinomonas,Sinomonas mesophila
NZ_MIEU01000001.1,1897634,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Micrococcaceae,Tersicoccus,Tersicoccus sp. Bi-70
NZ_ATVQ01000001.1,1123507,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Micrococcaceae,Yaniella,Yaniella halotolerans
NZ_HE978641.1,1095772,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,NA,Timonella,Timonella senegalensis
NZ_CAVB010000138.1,1294039,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,NA,Tropheryma,Tropheryma whipplei
NZ_CAOI01000428.1,1242247,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Promicromonosporaceae,Cellulosimicrobium,Cellulosimicrobium cellulans
NZ_LWGM01000001.1,139208,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Promicromonosporaceae,Isoptericola,Isoptericola variabilis
NZ_FUZQ01000010.1,526729,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Promicromonosporaceae,Krasilnikoviella,Krasilnikoviella flava
NZ_ARQM01000001.1,1172178,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Promicromonosporaceae,Promicromonospora,Promicromonospora sukumoe
NC_013530.1,446471,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Promicromonosporaceae,Xylanimonas,Xylanimonas cellulosilytica
NZ_FNTX01000002.1,648782,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Ruaniaceae,Haloactinobacterium,Haloactinobacterium album
NZ_ATWL01000001.1,1123065,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Ruaniaceae,Ruania,Ruania albidiflava
NZ_LMRH01000001.1,1736209,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Sanguibacteraceae,Sanguibacter,NA 
NZ_JOEG01000001.1,390989,Bacteria,Actinobacteria,Actinobacteria,Micromonosporales,Micromonosporaceae,Actinocatenispora,Actinocatenispora sera
NZ_LLZH01000001.1,135947,Bacteria,Actinobacteria,Actinobacteria,Micromonosporales,Micromonosporaceae,Actinoplanes,Actinoplanes awajinensis
NZ_FNQB01000011.1,137265,Bacteria,Actinobacteria,Actinobacteria,Micromonosporales,Micromonosporaceae,Asanoa,Asanoa ishikariensis
NZ_KB903249.1,1121272,Bacteria,Actinobacteria,Actinobacteria,Micromonosporales,Micromonosporaceae,Catelliglobosispora,Catelliglobosispora koreensis
NZ_JNXY01000001.1,33876,Bacteria,Actinobacteria,Actinobacteria,Micromonosporales,Micromonosporaceae,Catenuloplanes,Catenuloplanes japonicus
NZ_MEIA01000001.1,56427,Bacteria,Actinobacteria,Actinobacteria,Micromonosporales,Micromonosporaceae,Couchioplanes,Couchioplanes caeruleus
NZ_JNYJ01000001.1,35754,Bacteria,Actinobacteria,Actinobacteria,Micromonosporales,Micromonosporaceae,Dactylosporangium,Dactylosporangium aurantiacum
NZ_AUAX01000001.1,1121946,Bacteria,Actinobacteria,Actinobacteria,Micromonosporales,Micromonosporaceae,Hamadaea,Hamadaea tsunoensis
NZ_KB903813.1,1122182,Bacteria,Actinobacteria,Actinobacteria,Micromonosporales,Micromonosporaceae,Longispora,Longispora albida
NZ_LWLS01000001.1,1718947,Bacteria,Actinobacteria,Actinobacteria,Micromonosporales,Micromonosporaceae,Micromonospora,NA 
NZ_JOFP01000001.1,53371,Bacteria,Actinobacteria,Actinobacteria,Micromonosporales,Micromonosporaceae,Pilimelia,Pilimelia anulata
NZ_CP022961.1,2024580,Bacteria,Actinobacteria,Actinobacteria,Micromonosporales,Micromonosporaceae,Plantactinospora,NA 
NZ_KB900614.1,999545,Bacteria,Actinobacteria,Actinobacteria,Micromonosporales,Micromonosporaceae,Salinispora,Salinispora pacifica
NC_015434.1,263358,Bacteria,Actinobacteria,Actinobacteria,Micromonosporales,Micromonosporaceae,Verrucosispora,Verrucosispora maris
NZ_FNYV01000029.1,1144548,Bacteria,Actinobacteria,Actinobacteria,Micromonosporales,Micromonosporaceae,Xiangella,Xiangella phaseoli
NC_014165.1,469371,Bacteria,Actinobacteria,Actinobacteria,NA,NA,Thermobispora,Thermobispora bispora
NZ_AUFT01000001.1,1123241,Bacteria,Actinobacteria,Actinobacteria,Nakamurellales,Nakamurellaceae,Nakamurella,Nakamurella lactea
NZ_LT629732.1,117157,Bacteria,Actinobacteria,Actinobacteria,Propionibacteriales,Nocardioidaceae,Actinopolymorpha,Actinopolymorpha singaporensis
NZ_LMDH01000001.1,1736521,Bacteria,Actinobacteria,Actinobacteria,Propionibacteriales,Nocardioidaceae,Aeromicrobium,NA 
NZ_LT629799.1,546874,Bacteria,Actinobacteria,Actinobacteria,Propionibacteriales,Nocardioidaceae,Friedmanniella,Friedmanniella sagamiharensis
NC_013729.1,479435,Bacteria,Actinobacteria,Actinobacteria,Propionibacteriales,Nocardioidaceae,Kribbella,Kribbella flavida
NZ_LMRF01000001.1,1736379,Bacteria,Actinobacteria,Actinobacteria,Propionibacteriales,Nocardioidaceae,Marmoricola,NA 
NZ_BCRJ01000001.1,1303683,Bacteria,Actinobacteria,Actinobacteria,Propionibacteriales,Nocardioidaceae,Nocardioides,Nocardioides jensenii
