NCBI Accession, NCBI Tax ID, Domain, Phylum, Class, Order, Family, Genus, Species
NZ_JIAL01000001.1,1382359,Bacteria,Acidobacteria,Acidobacteriia,Acidobacteriales,Acidobacteriaceae,Acidobacterium,Acidobacterium ailaaui
NZ_JQKI01000001.1,1121860,Bacteria,Acidobacteria,Acidobacteriia,Acidobacteriales,Acidobacteriaceae,Edaphobacter,Edaphobacter aggregans
NC_015064.1,1198114,Bacteria,Acidobacteria,Acidobacteriia,Acidobacteriales,Acidobacteriaceae,Granulicella,Granulicella tundricola
NZ_LBHJ01000001.1,1577686,Bacteria,Acidobacteria,Acidobacteriia,Acidobacteriales,Acidobacteriaceae,Silvibacterium,Silvibacterium bohemicum
NZ_LAIJ01000001.1,1577687,Bacteria,Acidobacteria,Acidobacteriia,Acidobacteriales,Acidobacteriaceae,Terracidiphilus,Terracidiphilus gabretensis
NZ_JUGR01000001.1,278961,Bacteria,Acidobacteria,Acidobacteriia,Acidobacteriales,Acidobacteriaceae,Terriglobus,NA 
NC_016024.1,981222,Bacteria,Acidobacteria,Blastocatellia,NA,NA,Chloracidobacterium,Chloracidobacterium thermophilum
NZ_CBXV010000001.1,454194,Bacteria,Acidobacteria,Blastocatellia,NA,Pyrinomonadaceae,Pyrinomonas,Pyrinomonas methylaliphatogenes
NZ_KE386810.1,1121920,Bacteria,Acidobacteria,Holophagae,Holophagales,Holophagaceae,Geothrix,Geothrix fermentans
NZ_KI912268.1,903818,Bacteria,Acidobacteria,Holophagae,Holophagales,Holophagaceae,Holophaga,Holophaga foetida
NZ_JMFG01000001.1,1312852,Bacteria,Acidobacteria,NA,NA,NA,Thermoanaerobaculum,Thermoanaerobaculum aquaticum
NZ_JNIF01000001.1,1340493,Bacteria,Acidobacteria,Solibacteres,Solibacterales,Bryobacteraceae,Bryobacter,Bryobacter aggregatus
NC_013124.1,525909,Bacteria,Actinobacteria,Acidimicrobiia,Acidimicrobiales,Acidimicrobiaceae,Acidimicrobium,Acidimicrobium ferrooxidans
NZ_JXYS01000001.1,1280514,Bacteria,Actinobacteria,Acidimicrobiia,Acidimicrobiales,Acidimicrobiaceae,Acidithrix,Acidithrix ferrooxidans
NZ_JQKF01000001.1,1121877,Bacteria,Actinobacteria,Acidimicrobiia,Acidimicrobiales,Acidimicrobiaceae,Ferrimicrobium,Ferrimicrobium acidiphilum
NZ_FQUL01000093.1,1121881,Bacteria,Actinobacteria,Acidimicrobiia,Acidimicrobiales,Acidimicrobiaceae,Ferrithrix,Ferrithrix thermotolerans
NZ_BAOL01000399.1,1313171,Bacteria,Actinobacteria,Acidimicrobiia,Acidimicrobiales,Acidimicrobiaceae,Ilumatobacter,Ilumatobacter nonamiensis
NC_008578.1,351607,Bacteria,Actinobacteria,Actinobacteria,Acidothermales,Acidothermaceae,Acidothermus,Acidothermus cellulolyticus
NZ_JH992955.1,883066,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Actinobaculum,Actinobaculum massiliense
NZ_CP017812.1,1912795,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Actinomyces,NA 
NZ_LT706966.1,1870995,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Actinotignum,Actinotignum timonense
NZ_JRMX01000001.1,1219585,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Arcanobacterium,NA 
NZ_LN831052.1,1522309,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Flaviflexus,Flaviflexus massiliensis
NZ_GL405260.1,871571,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Mobiluncus,Mobiluncus mulieris
NZ_LNIZ01000001.1,59561,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Trueperella,Trueperella bernardiae
NZ_LT827016.1,1964383,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Varibaculum,Varibaculum timonense
NZ_AQUI01000001.1,1089546,Bacteria,Actinobacteria,Actinobacteria,Actinopolysporales,Actinopolysporaceae,Actinopolyspora,Actinopolyspora halophila
NZ_MWWU01000001.1,218139,Bacteria,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Aeriscardovia,Aeriscardovia aeriphila
NZ_NEKC01000010.1,1160091,Bacteria,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Alloscardovia,Alloscardovia macacae
NZ_JDUQ01000001.1,1435464,Bacteria,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,Bifidobacterium psychraerophilum
NZ_MWWS01000001.1,686666,Bacteria,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bombiscardovia,Bombiscardovia coagulans
NZ_ADEV01000001.1,698960,Bacteria,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Gardnerella,Gardnerella vaginalis
NZ_GG770327.1,641144,Bacteria,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Parascardovia,Parascardovia denticolens
NZ_MWWQ01000001.1,987063,Bacteria,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Pseudoscardovia,Pseudoscardovia suis
NZ_AKCI01000001.1,857290,Bacteria,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Scardovia,Scardovia wiggsiae
NZ_JNYX01000001.1,304899,Bacteria,Actinobacteria,Actinobacteria,Catenulisporales,Actinospicaceae,Actinospica,Actinospica acidiphila
NC_013131.1,479433,Bacteria,Actinobacteria,Actinobacteria,Catenulisporales,Catenulisporaceae,Catenulispora,Catenulispora acidiphila
NZ_MIYQ01000001.1,1717,Bacteria,Actinobacteria,Actinobacteria,Corynebacteriales,Corynebacteriaceae,Corynebacterium,Corynebacterium diphtheriae
NZ_LBNF01000001.1,29321,Bacteria,Actinobacteria,Actinobacteria,Corynebacteriales,Corynebacteriaceae,Turicella,Turicella otitidis
NZ_MDCG01000001.1,665550,Bacteria,Actinobacteria,Actinobacteria,Corynebacteriales,Dietziaceae,Dietzia,Dietzia alimentaria
NZ_APHK02000001.1,1241906,Bacteria,Actinobacteria,Actinobacteria,Corynebacteriales,Gordoniaceae,Gordonia,Gordonia sp. NB4-1Y
NZ_BCRN01000001.1,1219361,Bacteria,Actinobacteria,Actinobacteria,Corynebacteriales,Gordoniaceae,Millisia,Millisia brevis
NZ_BCRV01000001.1,1223536,Bacteria,Actinobacteria,Actinobacteria,Corynebacteriales,Gordoniaceae,Skermania,Skermania piniformis
NZ_BDDI01000001.1,616997,Bacteria,Actinobacteria,Actinobacteria,Corynebacteriales,Mycobacteriaceae,Hoyosella,Hoyosella altamirensis
NZ_FPZI01000079.1,1773,Bacteria,Actinobacteria,Actinobacteria,Corynebacteriales,Mycobacteriaceae,Mycobacterium,Mycobacterium tuberculosis
NZ_CP012390.1,1528099,Bacteria,Actinobacteria,Actinobacteria,Corynebacteriales,NA,Lawsonella,Lawsonella clevelandensis
NZ_BAVQ01000113.1,1448389,Bacteria,Actinobacteria,Actinobacteria,Corynebacteriales,NA,Tomitella,Tomitella biformata
NZ_LGDY01000001.1,1519492,Bacteria,Actinobacteria,Actinobacteria,Corynebacteriales,Nocardiaceae,Nocardia,Nocardia sp. NRRL S-836
NZ_JMEW01000001.1,1443896,Bacteria,Actinobacteria,Actinobacteria,Corynebacteriales,Nocardiaceae,Rhodococcus,Rhodococcus fascians
NZ_AQXZ01000001.1,1123258,Bacteria,Actinobacteria,Actinobacteria,Corynebacteriales,Nocardiaceae,Smaragdicoccus,Smaragdicoccus niigatensis
NZ_KI391953.1,679197,Bacteria,Actinobacteria,Actinobacteria,Corynebacteriales,Segniliparaceae,Segniliparus,Segniliparus rugosus
NZ_HE997626.1,1151061,Bacteria,Actinobacteria,Actinobacteria,Corynebacteriales,Tsukamurellaceae,Tsukamurella,NA 
NZ_AYTE01000001.1,1313067,Bacteria,Actinobacteria,Actinobacteria,Corynebacteriales,Williamsiaceae,Williamsia,Williamsia sp. D3
NZ_FRCS01000040.1,134849,Bacteria,Actinobacteria,Actinobacteria,Frankiales,Cryptosporangiaceae,Cryptosporangium,Cryptosporangium aurantiacum
NC_009921.1,298653,Bacteria,Actinobacteria,Actinobacteria,Frankiales,Frankiaceae,Frankia,Frankia sp. EAN1pec
NZ_FQVU01000009.1,1206085,Bacteria,Actinobacteria,Actinobacteria,Frankiales,Frankiaceae,Jatrophihabitans,Jatrophihabitans endophyticus
NZ_KB913029.1,1048339,Bacteria,Actinobacteria,Actinobacteria,Frankiales,Sporichthyaceae,Sporichthya,Sporichthya polymorpha
NZ_OCNK01000011.1,1938745,Bacteria,Actinobacteria,Actinobacteria,Geodermatophilales,Geodermatophilaceae,Blastococcus,NA 
NZ_FNCF01000012.1,333142,Bacteria,Actinobacteria,Actinobacteria,Geodermatophilales,Geodermatophilaceae,Geodermatophilus,Geodermatophilus brasiliensis
NC_017955.1,477641,Bacteria,Actinobacteria,Actinobacteria,Geodermatophilales,Geodermatophilaceae,Modestobacter,Modestobacter marinus
NZ_NYMS01000001.1,1407559,Bacteria,Actinobacteria,Actinobacteria,Glycomycetales,Glycomycetaceae,Glycomyces,Glycomyces fuscus
NZ_AZUQ01000001.1,1089549,Bacteria,Actinobacteria,Actinobacteria,Glycomycetales,Glycomycetaceae,Haloglycomyces,Haloglycomyces albus
NC_013947.1,446470,Bacteria,Actinobacteria,Actinobacteria,Glycomycetales,Glycomycetaceae,Stackebrandtia,Stackebrandtia nassauensis
NZ_KI911782.1,987045,Bacteria,Actinobacteria,Actinobacteria,Jiangellales,Jiangellaceae,Jiangella,Jiangella gansuensis
NZ_LMER01000001.1,1736539,Bacteria,Actinobacteria,Actinobacteria,Kineosporiales,Kineosporiaceae,Angustibacter,NA 
NC_009664.2,266940,Bacteria,Actinobacteria,Actinobacteria,Kineosporiales,Kineosporiaceae,Kineococcus,Kineococcus radiotolerans
NZ_MWLL01000001.1,1961848,Bacteria,Actinobacteria,Actinobacteria,Kineosporiales,Kineosporiaceae,Kineosporia,NA 
NZ_FNKA01000004.1,1881057,Bacteria,Actinobacteria,Actinobacteria,Kineosporiales,Kineosporiaceae,Quadrisphaera,NA 
NC_012669.1,471853,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Beutenbergiaceae,Beutenbergia,Beutenbergia cavernae
NZ_PDJD01000001.1,556530,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Beutenbergiaceae,Serinibacter,Serinibacter salmoneus
NZ_PDJI01000001.1,638953,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Bogoriellaceae,Georgenia,Georgenia soli
NZ_KE384526.1,1121122,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Brevibacteriaceae,Brevibacterium,Brevibacterium album
NZ_AXCW01000001.1,948458,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Cellulomonadaceae,Actinotalea,Actinotalea ferrariae
NZ_AXCZ01000092.1,1386082,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Cellulomonadaceae,Cellulomonas,Cellulomonas bogoriensis
NZ_LMJG01000001.1,1736607,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Cellulomonadaceae,Oerskovia,Oerskovia sp. Root918
